name,currency,symbolIB,symbolTrading,exchange
Lyxor FTSE 100 UCITS ETF,EUR,100H,100H,sbf
Amundi S&P 500 UCITS ETF,EUR,500,500,sbf
Amundi S&P 500 UCITS ETF,EUR,500H,500H,sbf
HSBC EURO STOXX 50 UCITS ETF,EUR,50E,50E,sbf
ComStage Bund-Future Short UCITS ETF,EUR,5X62,BUNS,sbf
Invesco FTSE RAFI US 1000 UCITS ETF,EUR,6PSA,PFT,sbf
Amundi Govt Bond Highest Rated Euromts Investment Grade 1-3,EUR,AA13,AA13,sbf
Amundi Msci EM Asia UCITS ETF,EUR,AASI,AASI,sbf
Lyxor MSCI All Country World UCITS ETF,EUR,ACWI,ACWI,sbf
Amundi Msci Emerging Markets UCITS ETF,EUR,AEEM,AEEM,sbf
Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF,EUR,AEJ,AEJ,sbf
Amundi Index MSCI Emerging Markets UCITS ETF DR,EUR,AEME,AEME,sbf
Amundi Msci Europe EX UK UCITS ETF,EUR,AEXK,AEXK,sbf
Amundi Euro Corporate Financials Iboxx UCITS ETF,EUR,AFIN,AFIN,sbf
Amundi Floating Rate USD Corporate UCITS ETF,EUR,AFLE,AFLE,sbf
Amundi Floating Rate Euro Corporate 1-3 UCITS ETF,EUR,AFRN,AFRN,sbf
Amundi Floating Rate Euro Corporate 3-7 UCITS ETF,EUR,AFRN7,AFRN7,sbf
Lyxor MSCI South Africa UCITS ETF,EUR,AFS,AFS,sbf
Amundi ETF Global Emerging Bond Markit Iboxx UCITS ETF,USD,AGEB,AGEB,sbf
Amundi Euro High Yield Liquid Bond Iboxx UCITS ETF,EUR,AHYE,AHYE,sbf
WisdomTree Agriculture,EUR,AIGAP,AIGAP,sbf
WisdomTree Broad Commodities,EUR,AIGCP,AIGCP,sbf
WisdomTree Precious Metals,EUR,AIGPP,AIGPP,sbf
Amundi Msci EM Latin America UCITS ETF,EUR,ALAT,ALAT,sbf
Amundi Govt Bond Highest Rated Euromts Investment Grade UCITS ETF,EUR,AM3A,AM3A,sbf
Amundi ETF MSCI Europe Energy UCITS ETF,EUR,ANRJ,ANRJ,sbf
Amundi Nasdaq-100 UCITS ETF,EUR,ANX,ANX,sbf
Amundi Nasdaq-100 UCITS ETF,USD,ANXUSD,ANXU,sbf
Lyxor MSCI AC Asia Ex Japan UCITS ETF,EUR,APX,APX,sbf
Lyxor China Enterprise HSCEI UCITS ETF,EUR,ASI,ASI,sbf
Amundi Msci Emerging Markets UCITS ETF,USD,AUEM,AUEM,sbf
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF,EUR,AUT,AUT,sbf
Lyxor PEA World Water UCITS ETF,EUR,AWAT,AWAT,sbf
Amundi Euro Corporate EX Financials Iboxx UCITS ETF,EUR,AXFI,AXFI,sbf
AMUNDI ETF MSCI EUROPE BUYBACK UCITS ETF,EUR,BBEU,BBEU,sbf
Lyxor STOXX Europe 600 Banks UCITS ETF,EUR,BNK,BNK,sbf
Lyxor EURO STOXX Banks DR UCITS ETF,EUR,BNKE,BNKE,sbf
Lyxor STOXX Europe 600 Basic Resources UCITS ETF,EUR,BRE,BRE,sbf
AMUNDI MSCI BRAZIL,USD,BRZ,BRZ,sbf
Lyxor EURO STOXX 50 Daily -1x Inverse UCITS ETF,EUR,BSX,BSX,sbf
Lyxor BTP Daily 2x Leveraged UCITS ETF,EUR,BTPL,BTPL,sbf
Lyxor BTP Daily -2x Inverse UCITS ETF,EUR,BTPS,BTPS,sbf
WisdomTree Gold,EUR,BULLP,BULLP,sbf
Invesco Global Buyback Achievers UCITS ETF,EUR,BUYB,BUYB,sbf
Lyxor CAC 40 Daily -2x Inverse UCITS ETF,EUR,BX4,BX4,sbf
Lyxor EURO STOXX 50 Daily -2x Inverse UCITS ETF,EUR,BXX,BXX,sbf
Amundi S&P 500 Buyback UCITS ETF,EUR,BYBE,BYBE,sbf
Amundi ETF Govt Bond Euromts Broad Investment Grade 10-15 UCITS ETF,EUR,C10,C10,sbf
Amundi ETF Govt Bond Euromts Broad Investment Grade 1-3 UCITS ETF,EUR,C13,C13,sbf
AMUNDI FTSE 100,EUR,C1U,C1U,sbf
Amundi ETF Short MSCI USA Daily UCITS ETF,EUR,C2U,C2U,sbf
Amundi ETF Govt Bond Euromts Broad Investment Grade 3-5 UCITS ETF DR,EUR,C33,C33,sbf
Amundi ETF Govies 0-6 Months Euromts Investment Grade UCITS ETF DR,EUR,C3M,C3M,sbf
Amundi Cac 40 UCITS ETF DR,EUR,C40,C40,sbf
Amundi Cac 40 UCITS ETF DR,EUR,C4D,C4D,sbf
Amundi ETF Short CAC 40 Daily UCITS ETF,EUR,C4S,C4S,sbf
Amundi Euro Stoxx 50 UCITS DR,EUR,C50,C50,sbf
Amundi ETF Govt Bond Euromts Broad Investment Grade 5-7 UCITS ETF DR,EUR,C53,C53,sbf
Amundi ETF Stoxx Europe 50 UCITS ETF,EUR,C5E,C5E,sbf
Amundi ETF Leveraged Euro Stoxx 50 Daily UCITS ETF,EUR,C5L1,C5L,sbf
Amundi ETF Short Euro Stoxx 50 Daily UCITS ETF,EUR,C5S2,C5S,sbf
Amundi Stoxx Europe 600 UCITS ETF,EUR,C6E,C6E,sbf
Amundi ETF Govt Bond Euromts Broad Investment Grade 7-10 UCITS ETF DR,EUR,C73,C73,sbf
Amundi ETF MSCI Europe Materials UCITS ETF,EUR,C8M,C8M,sbf
AMUNDI ETF BBB Euro Corporate Investment Grade UCITS ETF,EUR,CAB3,CBBB,sbf
Lyxor CAC 40 DR UCITS ETF,EUR,CAC,CAC,sbf
Lyxor CAC 40 DR UCITS ETF,EUR,CACC,CACC,sbf
Lyxor CAC MID 60 DR UCITS ETF,EUR,CACM,CACM,sbf
Ossiam Shiller Barclays Cape Europe Sector Value TR,EUR,CAPE,CAPE,sbf
OSSIAM SHILLER BARCLAYS CAPE US SECTOR VALUE TR,EUR,CAPU,CAPU,sbf
Amundi Govt Bond Euromts Broad Investment Grade UCITS ETF,EUR,CB3,CB3,sbf
Amundi ETF MSCI Europe Banks UCITS ETF,EUR,CB5,CB5,sbf
Amundi Msci China UCITS ETF,EUR,CC1,CC1,sbf
Amundi Msci China UCITS ETF,USD,CC1U,CC1U,sbf
Amundi Euro Corporates UCITS ETF,EUR,CC4,CC4,sbf
Amundi ETF Euro Corporates UCITS ETF,EUR,CC4D.OLD,CC4D.OLD,sbf
Commerzbank CCBI RQFII Money Market UCITS ETF,EUR,CCME,CCME,sbf
Amundi Euro Stoxx 50 UCITS DR,EUR,CD5,CD5,sbf
Amundi ETF MSCI Europe Consumer Discretionary UCITS ETF,EUR,CD6,CD6,sbf
Amundi ETF MSCI Emu High Dividend UCITS ETF,EUR,CD8,CD8,sbf
Amundi MSCI Europe High Dividend Factor UCITS ETF,EUR,CD9,CD9,sbf
Amundi MSCI World EX Europe UCITS ETF,EUR,CE8,CE8,sbf
Amundi Msci Eastern Europe EX Russia UCITS ETF,EUR,CE9,CE9,sbf
Amundi Msci Eastern Europe EX Russia UCITS ETF,USD,CE9USD,CE9U,sbf
Lyxor MSCI Eastern Europe EX Russia UCITS ETF,EUR,CEC,CEC,sbf
Amundi Msci Europe Low Size Factor UCITS ETF,EUR,CEM,CEM,sbf
AMUNDI INDEX MSCI EUROPE UCITS ETF DR,EUR,CEU2,CEU2,sbf
Amundi Msci Europe UCITS ETF,EUR,CEUG,CEU,sbf
Amundi ETF MSCI France UCITS ETF,EUR,CF1,CF1,sbf
Amundi ETF DAX UCITS ETF DR,EUR,CG1,CG1,sbf
Amundi Msci Europe Growth UCITS ETF,EUR,CG9,CG9,sbf
Amundi MSCI Netherlands UCITS ETF,EUR,CH1,CH1,sbf
Amundi ETF MSCI Europe Healthcare UCITS ETF,EUR,CH5,CH5,sbf
Lyxor STOXX Europe 600 Chemicals UCITS ETF,EUR,CHM,CHM,sbf
Amundi ETF MSCI Italy UCITS ETF,EUR,CI1,CI1,sbf
Amundi Msci India UCITS ETF,EUR,CI2,CI2,sbf
Amundi Msci India UCITS ETF,USD,CI2USD,CI2U,sbf
Amundi ETF Euro Inflation UCITS ETF DR,EUR,CI3,CI3,sbf
Amundi ETF MSCI Europe Industrials UCITS ETF,EUR,CIN,CIN,sbf
Amundi Index MSCI Japan UCITS ETF DR,EUR,CJ1,CJ1,sbf
Amundi ETF Leveraged MSCI Usa Daily UCITS ETF,EUR,CL2,CL2,sbf
Amundi ETF Leveraged CAC 40 Daily UCITS ETF,EUR,CL4,CL4,sbf
Lyxor MSCI EM Climate Change UCITS ETF,EUR,CLEM,CLEM,sbf
Lyxor MSCI Europe Climate Change DR UCITS ETF,EUR,CLEU,CLEU,sbf
Lyxor Green Bond DR UCITS ETF,EUR,CLIM,CLIM,sbf
Lyxor MSCI USA Climate Change UCITS ETF,EUR,CLUS,CLUS,sbf
Lyxor MSCI World Climate Change DR UCITS ETF,EUR,CLWD,CLWD,sbf
Amundi ETF MSCI World Ex Emu UCITS ETF,EUR,CM9,CM9,sbf
Amundi Index MSCI EMU UCITS ETF DR,EUR,CMU,CMU,sbf
Amundi Index MSCI EMU UCITS ETF DR,EUR,CMUD,CMUD,sbf
Amundi Msci Nordic UCITS ETF,EUR,CN1,CN1,sbf
Lyxor Hwabao WP MSCI China A DR UCITS ETF,EUR,CNAA,CNAA,sbf
Lyxor Euro Corporate Bond Ex Financials UCITS ETF,EUR,CNB,CNB,sbf
HSBC MSCI CHINA UCITS ETF,EUR,CNY,CNY,sbf
WisdomTree Copper,EUR,COPAP,COPAP,sbf
Amundi Index MSCI Pacific ex Japan UCITS ETF DR,EUR,CP9,CP9,sbf
Lyxor Commodities Thomson Reuters/CoreCommodity CRB TR UCITS ETF,EUR,CRB,CRB,sbf
Lyxor Commodities Thomson Reuters/CoreCommodity CRB EX-Energy TR UCITS ETF,EUR,CRN,CRN,sbf
Lyxor Euro Corporate Bond UCITS ETF,EUR,CRP,CRP,sbf
WisdomTree WTI Crude Oil,EUR,CRUDP,CRUDP,sbf
Amundi ETF MSCI Spain UCITS ETF,EUR,CS1,CS1,sbf
Amundi ETF MSCI Europe Consumer Staples UCITS ETF,EUR,CS5,CS5,sbf
Amundi Msci Europe Ex Switzerland ETF,EUR,CS9,CS9,sbf
Lyxor Euro Overnight Return UCITS ETF,EUR,CSH1,CSH,sbf
Lyxor Smart Overnight Return UCITS ETF,EUR,CSH2,CSH2,sbf
Lyxor STOXX Europe 600 Construction & Materials UCITS ETF,EUR,CST,CST,sbf
Amundi Msci Switzerland UCITS ETF,EUR,CSW,CSW,sbf
Amundi ETF MSCI Europe Communi,EUR,CT5,CT5,sbf
Amundi ETF MSCI UK UCITS ETF,EUR,CU1,CU1,sbf
Amundi Msci USA UCITS ETF,EUR,CU2,CU2,sbf
Amundi Msci USA UCITS ETF,USD,CU2U,CU2U,sbf
Amundi ETF MSCI Europe Utilities UCITS ETF,EUR,CU5,CU5,sbf
Amundi ETF MSCI Europe Ex Emu UCITS ETF,EUR,CU9,CU9,sbf
Amundi MSCI Europe Value Factor UCITS ETF,EUR,CV9,CV9,sbf
Amundi Msci World UCITS ETF,EUR,CW8,CW8,sbf
Amundi Msci World UCITS ETF,USD,CW8USD,CW8U,sbf
Amundi MSCI World Energy UCITS ETF,EUR,CWE.EUR,CWE,sbf
Amundi Msci World Financials UCITS ETF,EUR,CWF,CWF,sbf
Lyxor MSCI World Consumer Discretionary TR UCITS ETF,EUR,DISW,CODW,sbf
Lyxor Dow Jones Industrial Average UCITS ETF,EUR,DJE,DJE,sbf
Lyxor Bund Daily 2x Leveraged UCITS ETF,EUR,DLB,DLB,sbf
Lyxor Bund Daily -2x Inverse UCITS ETF,EUR,DSB,DSB,sbf
Lyxor Daily ShortDAX x2 UCITS ETF,EUR,DSD,DSD,sbf
Lyxor S&P 500 Daily -2x Inverse UCITS ETF,EUR,DSP5,DSP5,sbf
Lyxor 10Y US Treasury Daily -2x Inverse UCITS ETF,EUR,DSUS,DSUS,sbf
BNP Paribas Easy CAC 40 UCITS ETF,EUR,E40,E40,sbf
Amundi Index Barclays Euro Corp BBB 1-5 UCITS ETF DR,EUR,EBBB,EBBB,sbf
Lyxor MSCI Digital Economy ESG Filtered DR UCITS ETF,EUR,EBUY,EBUY,sbf
Lyxor EuroMTS Covered Bond Aggregate UCITS ETF,EUR,ECB,ECB,sbf
BNP Paribas Easy Low Carbon 100 Europe UCITS ETF,EUR,ECN,ECN,sbf
Amundi Index Euro Agg Corporate Sri - Ucits Etf Dr,EUR,ECRP,ECRP,sbf
Amundi Index Euro Corporate SRI 0-3Y UCITS ETF DR,EUR,ECRP3,ECRP3,sbf
BNP Paribas Easy Equity Dividend Europe UCITS ETF,EUR,EDEU,EDEU,sbf
BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF,EUR,EEA,EEA,sbf
BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF,EUR,EEE,EEE,sbf
BNP Paribas Easy FTSE EPRA/NAREIT Developed Europe UCITS ETF,EUR,EEEH,EEEH,sbf
BNP Paribas Easy MSCI Emerging Markets ex CW UCITS ETF,EUR,EEMK,EEMK,sbf
BNP Paribas Easy MSCI EMU ex CW UCITS ETF,EUR,EEMU,EEMU,sbf
BNP Paribas Easy FTSE EPRA/NAREIT Developed Europe UCITS ETF,EUR,EEP,EEP,sbf
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped UCITS ETF,EUR,EESM,EESM,sbf
BNP Paribas Easy MSCI Europe ex CW UCITS ETF,EUR,EEUE,EEUE,sbf
BNP Paribas Easy MSCI Europe ex UK ex CW UCITS ETF,EUR,EEXU,EEXU,sbf
AMUNDI INDEX J.P. MORGAN EMU GOVIES IG UCITS ETF DR,EUR,EGOV,EGOV,sbf
BNP Paribas Easy MSCI Emerging SRI S-Series 5% Capped UCITS ETF,EUR,EISR,EISR,sbf
BNP Paribas Easy MSCI Japan ex CW UCITS ETF,EUR,EJAH,EJAH,sbf
BNP Paribas Easy MSCI Japan ex CW UCITS ETF,EUR,EJAP,EJAP,sbf
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF,USD,EKLD,EKLD,sbf
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF,EUR,EKLDC,EKLDC,sbf
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF,EUR,EKUS,EKUS,sbf
Lyxor MSCI Future Mobility ESG Filtered DR UCITS ETF,EUR,ELCR,ELCR,sbf
Lyxor Global Gender Equality DR UCITS ETF,EUR,ELLE,ELLE,sbf
BNP Paribas Easy Markit iBoxx EUR Liquid Corporates UCITS ETF,EUR,ELQC,ELQC,sbf
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF,EUR,EMEH,EMEH,sbf
Invesco FTSE Emerging Markets High Dividend Low Volatility UCITS ETF,EUR,EMHD,EMHD,sbf
BNP Paribas Easy MSCI Emerging SRI S-Series 5% Capped UCITS ETF,EUR,EMIS,EMIS,sbf
OSSIAM ETF EMERGING MARKETS MINIMUM VARIANCE,EUR,EMMV,EMMV,sbf
BNP PARIBAS EASY Equity Momentum Europe UCITS ETF,EUR,EMOM,EMOM,sbf
Amundi Index MSCI Emerging Markets SRI UCITS ETF DR,EUR,EMSRI,EMSRI,sbf
BNP Paribas Easy MSCI World SRI S-Series 5% Capped UCITS ETF,EUR,EMWE,EMWE,sbf
BNP Paribas Easy MSCI North America ex CW UCITS ETF,EUR,ENAM,ENAM,sbf
Lyxor MSCI World Energy TR UCITS ETF,EUR,ENERW,NRGW,sbf
BNP Paribas Easy ECPI Global ESG Infrastructure UCITS ETF,EUR,ENG1,ENG,sbf
BNP Paribas Easy MSCI Pacific ex Japan ex CW UCITS ETF,EUR,EPEJ,EPEJ,sbf
AMUNDI INDEX FTSE EPRA NAREIT GLOBAL UCITS ETF DR,EUR,EPRA,EPRA,sbf
Amundi Ftse Epra Europe Real Estate UCITS ETF,EUR,EPRE,EPRE,sbf
Invesco EQQQ Nasdaq-100 UCITS ETF,EUR,EQQQ,EQQQ,sbf
BNP PARIBAS EASY Equity Quality Europe UCITS ETF,EUR,EQUA,EQUA,sbf
SPDR MSCI Europe UCITS ETF,EUR,ERO,ERO,sbf
Lyxor EuroMTS 10Y Spain BONO Government Bond DR UCITS ETF,EUR,ES10,ES10,sbf
BNP Paribas Easy S&P 500 UCITS ETF,USD,ESD,ESD,sbf
BNP Paribas Easy S&P 500 UCITS ETF,USD,ESDD,ESDD,sbf
BNP Paribas Easy S&P 500 UCITS ETF,EUR,ESE,ESE,sbf
BNP Paribas Easy S&P 500 UCITS ETF,EUR,ESEH,ESEH,sbf
Lyxor MSCI Europe ESG Leaders DR UCITS ETF,EUR,ESGE,ESGE,sbf
Amundi ETF Euro Stoxx Small Cap UCITS ETF,EUR,ESM,ESM,sbf
BNP Paribas Easy EURO STOXX 50 UCITS ETF,EUR,ETBB,ETBB,sbf
BNP Paribas Easy EURO STOXX 50 UCITS ETF,EUR,ETDD,ETDD,sbf
Lyxor FTSE MIB UCITS ETF,EUR,ETFMIB,MIB,sbf
Lyxor PEA MSCI Turkey UCITS ETF,EUR,ETUR,ETUR,sbf
BNP Paribas Easy Stoxx Europe 600 UCITS ETF,EUR,ETZ,ETZ,sbf
BNP Paribas Easy Stoxx Europe 600 UCITS ETF,EUR,ETZD,ETZD,sbf
Amundi Index MSCI Europe SRI UCITS ETF DR,EUR,EUSRI,EUSRI,sbf
BNP PARIBAS EASY Equity Value Europe UCITS ETF,EUR,EVAE,EVAE,sbf
BNP PARIBAS EASY Equity Low Vol Europe UCITS ETF,EUR,EVOE,EVOE,sbf
BNP PARIBAS EASY Equity Low Vol US UCITS ETF,EUR,EVOU,EVOU,sbf
Lyxor PEA MSCI World UCITS ETF,EUR,EWLD,EWLD,sbf
First Trust Global Equity Income UCITS ETF,EUR,FGBL,FGBL,sbf
Lyxor STOXX Europe 600 Financial Services UCITS ETF,EUR,FIN,FIN,sbf
Lyxor MSCI World Financials TR UCITS ETF,EUR,FINSW,FINW,sbf
Lyxor Euro Floating Rate Note UCITS ETF,EUR,FLOT,FLOT,sbf
Lyxor EUR Curve Flattening 2-10 UCITS ETF,EUR,FLTE,FLTE,sbf
Lyxor US Curve Flattening 2-10 UCITS ETF,EUR,FLTU,FLTU,sbf
AMUNDI FTSE MIB UCITS ETF,EUR,FMI,FMI,sbf
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF,EUR,FOO,FOO,sbf
Lyxor FTSE 100 UCITS ETF,EUR,FTS100,L100,sbf
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M UCITS ETF DR,EUR,GAGG,GAGG,sbf
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M UCITS ETF DR,EUR,GAGH,GAGH,sbf
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M UCITS ETF DR,USD,GAHU,GAHU,sbf
Gold Bullion Securities Ltd,EUR,GBS,GBS,sbf
AMUNDI INDEX JP MORGAN GBI GLOBAL GOVIES UCITS ETF DR,EUR,GGOV,GGOV,sbf
Amundi Global Infrastructure UCITS ETF,EUR,GINF,GINF,sbf
Lyxor MSCI ACWI Gold UCITS ETF,EUR,GLDM,GLDM,sbf
Amundi S&P Global Luxury UCITS ETF,EUR,GLUX,GLUX,sbf
Amundi STOXX Global Artificial Intelligence UCITS ETF,EUR,GOAI,GOAI,sbf
Amundi Physical Gold PLC,EUR,GOLD,GOLD,sbf
AMUNDI INDEX JP MORGAN GBI GLOBAL GOVIES UCITS ETF DR,EUR,GOVH,GOVH,sbf
LYXOR MSCI GREECE,EUR,GRE,GRE,sbf
BNP Paribas Easy FTSE EPRA Nareit Developed Europe ex UK Green UCITS ETF,EUR,GREAL,GREAL,sbf
Lyxor MSCI EMU Growth DR UCITS ETF,EUR,GWT,GWT,sbf
HSBC MSCI BRAZIL UCITS ETF,EUR,HBZ,HBZ,sbf
HSBC MSCI CANADA UCITS ETF,EUR,HCAN,HCAN,sbf
Invesco EURO STOXX High Dividend Low Volatility UCITS ETF,EUR,HDEU,EUHD,sbf
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,EUR,HDLV,HDLV,sbf
HSBC MSCI EUROPE UCITS ETF,EUR,HEU,HEU,sbf
HSBC S&P 500 UCITS ETF,EUR,HHH,HHH,sbf
Lyxor STOXX Europe 600 Healthcare UCITS ETF,EUR,HLT,HLT,sbf
Lyxor MSCI World Health Care TR UCITS ETF,EUR,HLTW,HLTW,sbf
HSBC FTSE 250 UCITS ETF,EUR,HMCX,HMCX,sbf
HSBC MSCI EM LATIN AMERICA UCITS ETF,EUR,HMLA,HMLA,sbf
Lyxor Hong Kong HSI UCITS ETF,EUR,HSI,HSI,sbf
HSBC MSCI TURKEY UCITS ETF,EUR,HTR,HTR,sbf
Lyxor iBoxx EUR Liquid High Yield BB UCITS ETF,EUR,HYBB,HYBB,sbf
Invesco US High Yield Fallen Angels UCITS ETF,EUR,HYFA,HYFA,sbf
HSBC MSCI South Africa Capped UCITS ETF,EUR,HZAR,HZAR,sbf
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF,EUR,IND,IND,sbf
Lyxor MSCI World Industrials TR UCITS ETF,EUR,INDGW,INDW,sbf
Lyxor MSCI Indonesia UCITS ETF,EUR,INDO,INDO,sbf
Lyxor EUR 2-10Y Inflation Expectations UCITS ETF,EUR,INFL,INFL,sbf
Lyxor USD 10Y Inflation Expectations UCITS ETF,EUR,INFU,INFU,sbf
Lyxor MSCI India UCITS ETF,EUR,INR,INR,sbf
Lyxor STOXX Europe 600 Insurance UCITS ETF,EUR,INS,INS,sbf
Lyxor MSCI Smart Cities ESG Filtered DR UCITS ETF,EUR,IQCT,IQCT,sbf
IndexIQ Factors Sustainable Corporate Euro Bond UCITS ETF,EUR,IQEC,IQEC,sbf
IndexIQ Factors Sustainable Europe Equity UCITS ETF,EUR,IQEE,IQEE,sbf
IndexIQ Factors Sustainable Sovereign Euro Bond UCITS ETF,EUR,IQEG,IQEG,sbf
IndexIQ Factors Sustainable Japan Equity UCITS ETF,EUR,IQJP,IQJP,sbf
IndexIQ Factors Sustainable EMU Equity UCITS ETF,EUR,IQMU,IQMU,sbf
BNP Paribas Easy iSTOXX MUTB Japan Quality 150 UCITS ETF,EUR,ISTM,ISTM,sbf
BNP Paribas Easy Bloomberg Barclays Euro Aggregate Treasury UCITS ETF,EUR,JBEM,JBEM,sbf
Amundi Jpx-Nikkei 400 UCITS ETF,EUR,JPHE,JPHE,sbf
OSSIAM JAPAN MINIMUM VARIANCE NR UCITS ETF,EUR,JPMV,JPMV,sbf
Lyxor Japan TOPIX DR UCITS ETF,EUR,JPN,JPN,sbf
Lyxor Japan TOPIX DR UCITS ETF,EUR,JPNH,JPNH,sbf
Amundi Jpx-Nikkei 400 UCITS ETF,EUR,JPNK,JPNK,sbf
Lyxor JPX-Nikkei 400 DR UCITS ETF,EUR,JPX4,JPX4,sbf
Lyxor JPX-Nikkei 400 DR UCITS ETF,EUR,JPXH,JPXH,sbf
Lyxor MSCI Korea UCITS ETF,EUR,KRW,KRW,sbf
Lyxor Core Morningstar US DR UCITS ETF,EUR,LCUS,LCUS,sbf
Lyxor Core MSCI World DR UCITS ETF,EUR,LCUW,LCWD,sbf
Lyxor MSCI Emerging Markets UCITS ETF,EUR,LEM,LEM,sbf
Lyxor Inverse EUR 2-10Y Inflation Expectations UCITS ETF,EUR,LINF,LINF,sbf
Lyxor Nasdaq-100 Daily 2x Leveraged UCITS ETF,EUR,LQQ,LQQ,sbf
Lyxor MSCI EM Latin America UCITS ETF,EUR,LTM,LTM,sbf
Lyxor CAC 40 Daily 2x Leveraged UCITS ETF,EUR,LVC,LVC,sbf
Lyxor EURO STOXX 50 Daily 2x Leveraged UCITS ETF,EUR,LVE,LVE,sbf
Amundi Index Equity Global Low Carbon UCITS ETF DR,EUR,LWCR,LWCR,sbf
Lyxor IBOXX $ Liquid Emerging Markets Sovereigns UCITS ETF,USD,LYLEM1,LEMB,sbf
Lyxor S&P 500 UCITS ETF,EUR,LYPS,SP5,sbf
Lyxor MSCI Canada UCITS ETF,EUR,LYPT,TSX,sbf
Lyxor Australia S&P/ASX 200 UCITS ETF,EUR,LYPU,AU2,sbf
Lyxor DAX DR UCITS ETF,EUR,LYY7,DAX,sbf
Lyxor Daily LevDAX UCITS ETF,EUR,LYY8,LVD,sbf
Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 1-3Y DR UCITS ETF,EUR,MA13,MA13,sbf
Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 3-5Y DR UCITS ETF,EUR,MA35,MA35,sbf
Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond 5-7Y DR UCITS ETF,EUR,MA57,MA57,sbf
Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond DR UCITS ETF,EUR,MAA,MAA,sbf
Lyxor MSCI Malaysia UCITS ETF,EUR,MAL,MAL,sbf
Lyxor MSCI World Materials TR UCITS ETF,EUR,MATW,MATW,sbf
Amundi Msci Europe Momentum Factor UCITS ETF,EUR,MCEU,MCEU,sbf
Lyxor STOXX Europe 600 Media UCITS ETF,EUR,MDA,MDA,sbf
Lyxor STOXX Europe 600 Real Estate UCITS ETF,EUR,MEH,MEH,sbf
HSBC MSCI EM FAR EAST UCITS ETF,EUR,MEM,MEM,sbf
Lyxor MSCI Europe DR UCITS ETF,EUR,MEU,MEU,sbf
Lyxor Core STOXX Europe 600 DR,EUR,MEUD,MEUD,sbf
Lyxor Core EURO STOXX 300 DR,EUR,MFDD,MFDD,sbf
Lyxor Core MSCI EMU DR UCITS ETF,EUR,MFE,MFE,sbf
Lyxor Core EURO STOXX 300 DR,EUR,MFED,MFED,sbf
Lyxor DJ Global Titans 50 UCITS ETF,EUR,MGT,MGT,sbf
Lyxor EuroMTS 10Y Italy BTP Government Bond DR UCITS ETF,EUR,MI10,MI10,sbf
Lyxor EuroMTS 1-3Y Italy BTP Government Bond DR UCITS ETF,EUR,MI13,MI13,sbf
Lyxor MSCI Millennials ESG Filtered DR UCITS ETF,EUR,MILL,MILL,sbf
Amundi Msci Europe Minimum Volatility Factor UCITS ETF,EUR,MIVO,MIVO,sbf
Amundi MSCI USA Minimum Volatility Factor UCITS ETF,EUR,MIVU,MIVU,sbf
HSBC MSCI JAPAN UCITS ETF,EUR,MJP,MJP,sbf
Amundi ETF iSTOXX Europe Multi-Factor Market Neutral UCITS ETF,EUR,MKTN,MKTN,sbf
Lyxor MSCI EMU Small Cap DR UCITS ETF,EUR,MMS,MMS,sbf
BNP PARIBAS EASY Equity Momentum Europe UCITS ETF,EUR,MOED,MOED,sbf
Lyxor EURO STOXX 50 DR UCITS ETF,EUR,MSE,MSE,sbf
Lyxor Core EURO STOXX 50 DR,EUR,MSED,MSED,sbf
Lyxor Euro Government Bond 1-3,EUR,MTA,MTA,sbf
Lyxor Euro Government Bond 3-5Y DR UCITS ETF,EUR,MTB1,MTB,sbf
Lyxor Euro Government Bond 5-7Y DR UCITS ETF,EUR,MTC,MTC,sbf
Lyxor Euro Government Bond 7-10Y DR UCITS ETF,EUR,MTD,MTD,sbf
Lyxor Euro Government Bond 10-15Y DR UCITS ETF,EUR,MTE,MTE,sbf
Lyxor Euro Government Bond 15+Y DR UCITS ETF,EUR,MTF1,MTF,sbf
LYXOR EUR GOV BOND 25+Y DR,EUR,MTH,MTH,sbf
Lyxor Euro Government Inflation Linked Bond DR UCITS ETF,EUR,MTI,MTI,sbf
Lyxor Euro Government Bond DR UCITS ETF,EUR,MTX1,MTX,sbf
Lyxor FTSE EPRA/NAREIT United States UCITS ETF,EUR,MUAT,MUA,sbf
HSBC MSCI USA UCITS ETF,EUR,MUS1,MUS,sbf
